ANO,CODIGO_DEPARTAMENTO,DEPARTAMENTO,POBLACION_5_16,TASA_MATRICULACION_5_16,COBERTURA_NETA,COBERTURA_NETA_TRANSICION,COBERTURA_NETA_PRIMARIA,COBERTURA_NETA_SECUNDARIA,COBERTURA_NETA_MEDIA,COBERTURA_BRUTA,COBERTURA_BRUTA_TRANSICION,COBERTURA_BRUTA_PRIMARIA,COBERTURA_BRUTA_SECUNDARIA,COBERTURA_BRUTA_MEDIA,TAMANO_PROMEDIO_DE_GRUPO,SEDES_CONECTADAS_A_INTERNET,DESERCION,DESERCION_TRANSICION,DESERCION_PRIMARIA,DESERCION_SECUNDARIA,DESERCION_MEDIA,APROBACION,APROBACION_TRANSICION,APROBACION_PRIMARIA,APROBACION_SECUNDARIA,APROBACION_MEDIA,REPROBACION,REPROBACION_TRANSICION,REPROBACION_PRIMARIA,REPROBACION_SECUNDARIA,REPROBACION_MEDIA,REPITENCIA,REPITENCIA_TRANSICION,REPITENCIA_PRIMARIA,REPITENCIA_SECUNDARIA,REPITENCIA_MEDIA
2012,25,cundinamarca,571082,0.9117,0.9097,0.6361,0.8782,0.8153,0.4727,1.0188,0.8731,1.0389,1.1254,0.8312,16.78,0.3990999999999999,0.0294,0.0324,0.0217,0.0382,0.0285,0.9584,0.0006,0.9725,0.0382,0.9517,0.0121999999999999,0.0006,0.9725,0.0197,0.0197,0.0202,0.0006,0.0153,0.032,0.0128
2012,27,choco,145607,0.8097,0.8095,0.6217,0.8323999999999999,0.419,0.191,0.9964,0.9546,1.3024,0.8184999999999999,0.5582,14.92,0.1898,0.0209,0.0132,0.0174,0.0298,0.0298,0.9188,0.0144999999999999,0.9232,0.0298,0.9276,0.0603,0.0144999999999999,0.9232,0.0849,0.0426,0.001,0.0144999999999999,0.0006,0.0021,0.0011
2012,41,huila,273653,0.8976999999999999,0.8973,0.6715000000000001,0.9267,0.738,0.3797999999999999,1.0019,0.9094,1.1182,1.0366,0.6978,26.44,0.4454,0.0523,0.0458999999999999,0.0397,0.0731,0.0493,0.9001,0.002,0.9208,0.0731,0.8923000000000001,0.0475999999999999,0.002,0.9208,0.0672,0.0583,0.0181,0.002,0.0172,0.0252,0.0109
2012,44,la guajira,239298,0.7542,0.7533,0.4622,0.7247,0.4185999999999999,0.2067,0.8993000000000001,1.006,1.1857,0.6713,0.4718,22.53,0.3566,0.0681,0.0481,0.062,0.0883,0.0842,0.9233,0.0033,0.9292,0.0883,0.91,0.0086,0.0033,0.9292,0.0116999999999999,0.0058,0.0344,0.0033,0.04,0.0297,0.0104
2012,47,magdalena,334586,0.9182,0.9164,0.6557999999999999,0.8726,0.6496,0.3407,1.0868,1.3273,1.2698,0.9748,0.7094,22.4,0.303,0.0622,0.2084,0.0491,0.0385,0.0324,0.9197,0.0081,0.9321,0.0385,0.9513,0.0181,0.0081,0.9321,0.0212,0.0163,0.0159,0.0081,0.0149,0.0203,0.0062
2012,50,meta,210820,0.9335,0.9329,0.6714,0.9231,0.7591,0.4064,1.03,0.9887,1.1439,1.0458,0.7252,26.14,0.1076999999999999,0.0584999999999999,0.0574,0.0506,0.073,0.0507,0.9168,0.0025,0.9344,0.073,0.916,0.0247,0.0025,0.9344,0.0421,0.0332,0.018,0.0025,0.015,0.0279999999999999,0.0109
2012,52,narino,401539,0.7775,0.7773,0.4918,0.7776000000000001,0.5364,0.2859,0.9296,0.7717,1.1483,0.8662000000000001,0.5896,21.4,0.2269,0.0184,0.0132,0.0154,0.0237,0.0229,0.9702,0.0005,0.9756,0.0237,0.9649,0.0113999999999999,0.0005,0.9756,0.018,0.0121999999999999,0.0189,0.0005,0.0169,0.0271,0.0116999999999999
2012,54,norte de santander,322304,0.86,0.8593000000000001,0.7179000000000001,0.9029,0.643,0.3586999999999999,0.9669,1.0484,1.1276000000000002,0.915,0.6585,26.52,0.1278,0.0489,0.0433,0.0449,0.0593,0.0406,0.9358,0.0031,0.9452,0.0593,0.9373,0.0152,0.0031,0.9452,0.0245,0.0220999999999999,0.02,0.0031,0.0151,0.0315,0.0155
2012,63,quindio,112175,0.8876999999999999,0.8874,0.5776,0.8348,0.7917000000000001,0.4659,1.0248,0.8514,1.0269,1.1575,0.8476,27.72,0.2029,0.0623,0.066,0.0533,0.0771,0.0487,0.8979,0.0019,0.9203,0.0771,0.9092,0.0399,0.0019,0.9203,0.063,0.0421,0.0123,0.0019,0.0089,0.0196,0.0068
2012,66,risaralda,189484,0.9291,0.9277,0.6603,0.9119,0.7509,0.4297999999999999,1.091,1.0105,1.1524,1.1483,0.877,21.73,0.4696,0.0704,0.0605999999999999,0.0574,0.0921,0.0646,0.8791,0.0088,0.9082,0.0921,0.883,0.0506,0.0088,0.9082,0.0817,0.0525,0.0113,0.0088,0.0093999999999999,0.0166,0.0065
